Title,Score,Year,Rank
Berserk,9.47,1989,1
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.29,2004,2
Vagabond,9.22,1998,3
One Piece,9.21,1997,4
Monster,9.15,1994,5
Slam Dunk,9.07,1990,6
Fullmetal Alchemist,9.04,2001,7
Vinland Saga,9.03,2005,8
Grand Blue,9.03,2014,9
Oyasumi Punpun,9.02,2007,10
Kingdom,8.99,2006,11
Houseki no Kuni,8.96,2012,12
20th Century Boys,8.95,1999,13
Ashita no Joe,8.94,1968,14
Monogatari Series: First Season,8.93,2006,15
Mikkakan no Koufuku,8.93,2013,16
Real,8.92,1999,17
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.92,2015,18
Monogatari Series: Second Season,8.91,2010,19
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.89,2015,20
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.89,2020,21
GTO,8.89,1996,22
Yotsuba to!,8.88,2003,23
3-gatsu no Lion,8.88,2007,24
Monogatari Series: Final Season,8.86,2012,25
Koe no Katachi,8.86,2013,26
Haikyuu!!,8.84,2012,27
Akatsuki no Yona,8.83,2009,28
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.83,2012,29
Ookami to Koushinryou,8.83,2006,30
Kaze no Tani no Nausicaä,8.82,1982,31
86,8.81,2017,32
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.79,2016,33
Re:Zero kara Hajimeru Isekai Seikatsu,8.79,2014,34
Mushoku Tensei: Isekai Ittara Honki Dasu,8.78,2014,35
Nana,8.78,2000,36
Uchuu Kyoudai,8.78,2007,37
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.77,2011,38
Made in Abyss,8.77,2012,39
Chainsaw Man,8.76,2018,40
One Punch-Man,8.75,2012,41
Hunter x Hunter,8.73,1998,42
Mushishi,8.72,1999,43
Utsuro no Hako to Zero no Maria,8.72,2009,44
Sayonara Eri,8.72,2022,45
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.71,2015,46
Hajime no Ippo,8.70,1989,47
Death Note,8.70,2003,48
Kokou no Hito,8.70,2007,49
JoJo no Kimyou na Bouken Part 9: The JoJoLands,8.70,2023,50
